sentence_id,label,text,token,attribution,abs_attribution,delta,delta_flagged
0,emotion_appeal,"Last week, I came to the House in the wake of information released by the United States Department of Justice about the depth and extent of Peter Mandelson’s relationship with Jeffrey Epstein.",last,-0.033775,0.033775,-0.063351,True
0,emotion_appeal,"Last week, I came to the House in the wake of information released by the United States Department of Justice about the depth and extent of Peter Mandelson’s relationship with Jeffrey Epstein.",week,0.020998,0.020998,-0.063351,True
0,emotion_appeal,"Last week, I came to the House in the wake of information released by the United States Department of Justice about the depth and extent of Peter Mandelson’s relationship with Jeffrey Epstein.",",",-0.007572,0.007572,-0.063351,True
0,emotion_appeal,"Last week, I came to the House in the wake of information released by the United States Department of Justice about the depth and extent of Peter Mandelson’s relationship with Jeffrey Epstein.",i,0.003185,0.003185,-0.063351,True
0,emotion_appeal,"Last week, I came to the House in the wake of information released by the United States Department of Justice about the depth and extent of Peter Mandelson’s relationship with Jeffrey Epstein.",came,-0.005283,0.005283,-0.063351,True
0,emotion_appeal,"Last week, I came to the House in the wake of information released by the United States Department of Justice about the depth and extent of Peter Mandelson’s relationship with Jeffrey Epstein.",to,-0.017211,0.017211,-0.063351,True
0,emotion_appeal,"Last week, I came to the House in the wake of information released by the United States Department of Justice about the depth and extent of Peter Mandelson’s relationship with Jeffrey Epstein.",the,-0.022711,0.022711,-0.063351,True
0,emotion_appeal,"Last week, I came to the House in the wake of information released by the United States Department of Justice about the depth and extent of Peter Mandelson’s relationship with Jeffrey Epstein.",house,-0.019557,0.019557,-0.063351,True
0,emotion_appeal,"Last week, I came to the House in the wake of information released by the United States Department of Justice about the depth and extent of Peter Mandelson’s relationship with Jeffrey Epstein.",in,0.011072,0.011072,-0.063351,True
0,emotion_appeal,"Last week, I came to the House in the wake of information released by the United States Department of Justice about the depth and extent of Peter Mandelson’s relationship with Jeffrey Epstein.",the,-0.032555,0.032555,-0.063351,True
0,emotion_appeal,"Last week, I came to the House in the wake of information released by the United States Department of Justice about the depth and extent of Peter Mandelson’s relationship with Jeffrey Epstein.",wake,0.000275,0.000275,-0.063351,True
0,emotion_appeal,"Last week, I came to the House in the wake of information released by the United States Department of Justice about the depth and extent of Peter Mandelson’s relationship with Jeffrey Epstein.",of,-0.054252,0.054252,-0.063351,True
0,emotion_appeal,"Last week, I came to the House in the wake of information released by the United States Department of Justice about the depth and extent of Peter Mandelson’s relationship with Jeffrey Epstein.",information,-0.086085,0.086085,-0.063351,True
0,emotion_appeal,"Last week, I came to the House in the wake of information released by the United States Department of Justice about the depth and extent of Peter Mandelson’s relationship with Jeffrey Epstein.",released,-0.007016,0.007016,-0.063351,True
0,emotion_appeal,"Last week, I came to the House in the wake of information released by the United States Department of Justice about the depth and extent of Peter Mandelson’s relationship with Jeffrey Epstein.",by,-0.01343,0.01343,-0.063351,True
0,emotion_appeal,"Last week, I came to the House in the wake of information released by the United States Department of Justice about the depth and extent of Peter Mandelson’s relationship with Jeffrey Epstein.",the,-0.035587,0.035587,-0.063351,True
0,emotion_appeal,"Last week, I came to the House in the wake of information released by the United States Department of Justice about the depth and extent of Peter Mandelson’s relationship with Jeffrey Epstein.",united,-0.015221,0.015221,-0.063351,True
0,emotion_appeal,"Last week, I came to the House in the wake of information released by the United States Department of Justice about the depth and extent of Peter Mandelson’s relationship with Jeffrey Epstein.",states,-0.036018,0.036018,-0.063351,True
0,emotion_appeal,"Last week, I came to the House in the wake of information released by the United States Department of Justice about the depth and extent of Peter Mandelson’s relationship with Jeffrey Epstein.",department,-0.055812,0.055812,-0.063351,True
0,emotion_appeal,"Last week, I came to the House in the wake of information released by the United States Department of Justice about the depth and extent of Peter Mandelson’s relationship with Jeffrey Epstein.",of,-0.030617,0.030617,-0.063351,True
0,emotion_appeal,"Last week, I came to the House in the wake of information released by the United States Department of Justice about the depth and extent of Peter Mandelson’s relationship with Jeffrey Epstein.",justice,-0.007988,0.007988,-0.063351,True
0,emotion_appeal,"Last week, I came to the House in the wake of information released by the United States Department of Justice about the depth and extent of Peter Mandelson’s relationship with Jeffrey Epstein.",about,0.001283,0.001283,-0.063351,True
0,emotion_appeal,"Last week, I came to the House in the wake of information released by the United States Department of Justice about the depth and extent of Peter Mandelson’s relationship with Jeffrey Epstein.",the,-0.02954,0.02954,-0.063351,True
0,emotion_appeal,"Last week, I came to the House in the wake of information released by the United States Department of Justice about the depth and extent of Peter Mandelson’s relationship with Jeffrey Epstein.",depth,-0.005543,0.005543,-0.063351,True
0,emotion_appeal,"Last week, I came to the House in the wake of information released by the United States Department of Justice about the depth and extent of Peter Mandelson’s relationship with Jeffrey Epstein.",and,-0.035411,0.035411,-0.063351,True
0,emotion_appeal,"Last week, I came to the House in the wake of information released by the United States Department of Justice about the depth and extent of Peter Mandelson’s relationship with Jeffrey Epstein.",extent,-0.053343,0.053343,-0.063351,True
0,emotion_appeal,"Last week, I came to the House in the wake of information released by the United States Department of Justice about the depth and extent of Peter Mandelson’s relationship with Jeffrey Epstein.",of,-0.024979,0.024979,-0.063351,True
0,emotion_appeal,"Last week, I came to the House in the wake of information released by the United States Department of Justice about the depth and extent of Peter Mandelson’s relationship with Jeffrey Epstein.",peter,-0.002022,0.002022,-0.063351,True
0,emotion_appeal,"Last week, I came to the House in the wake of information released by the United States Department of Justice about the depth and extent of Peter Mandelson’s relationship with Jeffrey Epstein.",mandelson,-0.0704,0.0704,-0.063351,True
0,emotion_appeal,"Last week, I came to the House in the wake of information released by the United States Department of Justice about the depth and extent of Peter Mandelson’s relationship with Jeffrey Epstein.",’,0.018488,0.018488,-0.063351,True
0,emotion_appeal,"Last week, I came to the House in the wake of information released by the United States Department of Justice about the depth and extent of Peter Mandelson’s relationship with Jeffrey Epstein.",s,-0.048256,0.048256,-0.063351,True
0,emotion_appeal,"Last week, I came to the House in the wake of information released by the United States Department of Justice about the depth and extent of Peter Mandelson’s relationship with Jeffrey Epstein.",relationship,-0.037624,0.037624,-0.063351,True
0,emotion_appeal,"Last week, I came to the House in the wake of information released by the United States Department of Justice about the depth and extent of Peter Mandelson’s relationship with Jeffrey Epstein.",with,-0.011695,0.011695,-0.063351,True
0,emotion_appeal,"Last week, I came to the House in the wake of information released by the United States Department of Justice about the depth and extent of Peter Mandelson’s relationship with Jeffrey Epstein.",jeffrey,0.004108,0.004108,-0.063351,True
0,emotion_appeal,"Last week, I came to the House in the wake of information released by the United States Department of Justice about the depth and extent of Peter Mandelson’s relationship with Jeffrey Epstein.",epstein,0.050774,0.050774,-0.063351,True
0,emotion_appeal,"Last week, I came to the House in the wake of information released by the United States Department of Justice about the depth and extent of Peter Mandelson’s relationship with Jeffrey Epstein.",.,-0.090313,0.090313,-0.063351,True
0,authority_appeal,"Last week, I came to the House in the wake of information released by the United States Department of Justice about the depth and extent of Peter Mandelson’s relationship with Jeffrey Epstein.",last,0.014254,0.014254,0.032344,False
0,authority_appeal,"Last week, I came to the House in the wake of information released by the United States Department of Justice about the depth and extent of Peter Mandelson’s relationship with Jeffrey Epstein.",week,-0.01511,0.01511,0.032344,False
0,authority_appeal,"Last week, I came to the House in the wake of information released by the United States Department of Justice about the depth and extent of Peter Mandelson’s relationship with Jeffrey Epstein.",",",-0.03042,0.03042,0.032344,False
0,authority_appeal,"Last week, I came to the House in the wake of information released by the United States Department of Justice about the depth and extent of Peter Mandelson’s relationship with Jeffrey Epstein.",i,0.012292,0.012292,0.032344,False
0,authority_appeal,"Last week, I came to the House in the wake of information released by the United States Department of Justice about the depth and extent of Peter Mandelson’s relationship with Jeffrey Epstein.",came,-0.005572,0.005572,0.032344,False
0,authority_appeal,"Last week, I came to the House in the wake of information released by the United States Department of Justice about the depth and extent of Peter Mandelson’s relationship with Jeffrey Epstein.",to,0.029966,0.029966,0.032344,False
0,authority_appeal,"Last week, I came to the House in the wake of information released by the United States Department of Justice about the depth and extent of Peter Mandelson’s relationship with Jeffrey Epstein.",the,0.049574,0.049574,0.032344,False
0,authority_appeal,"Last week, I came to the House in the wake of information released by the United States Department of Justice about the depth and extent of Peter Mandelson’s relationship with Jeffrey Epstein.",house,-0.133605,0.133605,0.032344,False
0,authority_appeal,"Last week, I came to the House in the wake of information released by the United States Department of Justice about the depth and extent of Peter Mandelson’s relationship with Jeffrey Epstein.",in,-0.029805,0.029805,0.032344,False
