label,type,feature,score,frequency,rank
emotion_appeal,word,children,0.02710120119520409,17,1
emotion_appeal,word,hope,0.02563519613332562,16,2
emotion_appeal,word,people,0.022977616348210772,37,3
emotion_appeal,word,nation,0.020693643737165993,17,4
emotion_appeal,word,americans,0.018155314647509507,14,5
emotion_appeal,word,lives,0.01780016016132453,11,6
emotion_appeal,word,country,0.01743284194012254,19,7
emotion_appeal,word,times,0.015458973928215047,8,8
emotion_appeal,word,men,0.014880047439075117,10,9
emotion_appeal,word,like,0.01406276930720217,13,10
emotion_appeal,word,thank,0.014056964671553682,7,11
emotion_appeal,word,long,0.013691382800467375,14,12
emotion_appeal,word,said,0.013640519118443474,9,13
emotion_appeal,word,want,0.01309005839219472,11,14
emotion_appeal,word,families,0.012922905202730421,11,15
emotion_appeal,bigram,tough times,0.01090909090909091,3,1
emotion_appeal,bigram,want thank,0.009333743689583979,3,2
emotion_appeal,bigram,better life,0.008764672059195823,3,3
emotion_appeal,bigram,men women,0.008279880189370915,4,4
emotion_appeal,bigram,affairs men,0.007272727272727273,2,5
emotion_appeal,bigram,face future,0.007272727272727273,2,6
emotion_appeal,bigram,government people,0.007272727272727273,2,7
emotion_appeal,bigram,hundreds thousands,0.007272727272727273,2,8
emotion_appeal,bigram,let forget,0.007272727272727273,2,9
emotion_appeal,bigram,medical supplies,0.007272727272727273,2,10
emotion_appeal,bigram,pay tribute,0.007272727272727273,2,11
emotion_appeal,bigram,peace prosperity,0.007272727272727273,2,12
emotion_appeal,bigram,people build,0.007272727272727273,2,13
emotion_appeal,bigram,thank god,0.007272727272727273,2,14
emotion_appeal,bigram,working families,0.007272727272727273,2,15
authority_appeal,word,united,0.11383671977440422,8,1
authority_appeal,word,laws,0.10744990784162568,5,2
authority_appeal,word,law,0.09473462323686511,5,3
authority_appeal,word,constitution,0.09295962456553658,5,4
authority_appeal,word,states,0.0908231243819527,8,5
authority_appeal,word,international,0.08617051599872605,5,6
authority_appeal,word,government,0.05974707841378702,5,7
authority_appeal,bigram,united states,0.10104166666666667,5,1
authority_appeal,bigram,law enforcement,0.04895833333333333,2,2
authority_appeal,bigram,federal government,0.046875,2,3
authority_appeal,bigram,chemical weapons,0.04163600286299702,2,4
authority_appeal,bigram,united kingdom,0.04163600286299702,2,5
polarization,word,citizens,0.08025330829205901,5,1
polarization,word,aggression,0.07672288789556095,5,2
polarization,word,people,0.07139669965673758,9,3
polarization,word,world,0.07076910747867782,7,4
polarization,word,free,0.05406799930567531,6,5
polarization,word,nations,0.031726501551426964,5,6
polarization,bigram,free nations,0.05945911857994363,3,1
polarization,bigram,criminal aliens,0.03219082182019644,2,2
polarization,bigram,law abiding,0.03219082182019644,2,3
polarization,bigram,united states,0.005130611189352225,2,4
presumption,word,need,0.02515239727057236,11,1
presumption,word,know,0.022311049131363215,9,2
presumption,word,defense,0.020519820570478305,5,3
presumption,word,work,0.019550583862631116,14,4
presumption,word,security,0.01913682128942685,11,5
presumption,word,true,0.018674237130704333,5,6
