idx,label,text,token,score,delta
769,emotion_appeal,"Government is hard because we are facing into big challenges that affect every single person across our country, which is what has made this job so utterly rewarding.",utterly,0.08991657942533493,-0.03833925724029541
769,emotion_appeal,"Government is hard because we are facing into big challenges that affect every single person across our country, which is what has made this job so utterly rewarding.",government,0.08764038980007172,-0.03833925724029541
769,emotion_appeal,"Government is hard because we are facing into big challenges that affect every single person across our country, which is what has made this job so utterly rewarding.",job,0.07818900048732758,-0.03833925724029541
769,emotion_appeal,"Government is hard because we are facing into big challenges that affect every single person across our country, which is what has made this job so utterly rewarding.",person,0.0767020732164383,-0.03833925724029541
769,emotion_appeal,"Government is hard because we are facing into big challenges that affect every single person across our country, which is what has made this job so utterly rewarding.",hard,0.07230126857757568,-0.03833925724029541
769,emotion_appeal,"Government is hard because we are facing into big challenges that affect every single person across our country, which is what has made this job so utterly rewarding.",country,0.07187504321336746,-0.03833925724029541
769,emotion_appeal,"Government is hard because we are facing into big challenges that affect every single person across our country, which is what has made this job so utterly rewarding.",every,0.06718874722719193,-0.03833925724029541
769,emotion_appeal,"Government is hard because we are facing into big challenges that affect every single person across our country, which is what has made this job so utterly rewarding.",facing,0.061943650245666504,-0.03833925724029541
769,emotion_appeal,"Government is hard because we are facing into big challenges that affect every single person across our country, which is what has made this job so utterly rewarding.",affect,-0.05888943374156952,-0.03833925724029541
769,emotion_appeal,"Government is hard because we are facing into big challenges that affect every single person across our country, which is what has made this job so utterly rewarding.",big,0.055318959057331085,-0.03833925724029541
769,authority_appeal,"Government is hard because we are facing into big challenges that affect every single person across our country, which is what has made this job so utterly rewarding.",across,-0.12789013981819153,0.15195417404174805
769,authority_appeal,"Government is hard because we are facing into big challenges that affect every single person across our country, which is what has made this job so utterly rewarding.",rewarding,-0.10939871519804001,0.15195417404174805
769,authority_appeal,"Government is hard because we are facing into big challenges that affect every single person across our country, which is what has made this job so utterly rewarding.",.,-0.09338127076625824,0.15195417404174805
769,authority_appeal,"Government is hard because we are facing into big challenges that affect every single person across our country, which is what has made this job so utterly rewarding.",job,-0.07980680465698242,0.15195417404174805
769,authority_appeal,"Government is hard because we are facing into big challenges that affect every single person across our country, which is what has made this job so utterly rewarding.",made,-0.06166379153728485,0.15195417404174805
769,authority_appeal,"Government is hard because we are facing into big challenges that affect every single person across our country, which is what has made this job so utterly rewarding.",into,-0.060647252947092056,0.15195417404174805
769,authority_appeal,"Government is hard because we are facing into big challenges that affect every single person across our country, which is what has made this job so utterly rewarding.",hard,-0.055048614740371704,0.15195417404174805
769,authority_appeal,"Government is hard because we are facing into big challenges that affect every single person across our country, which is what has made this job so utterly rewarding.",country,-0.05114903673529625,0.15195417404174805
769,authority_appeal,"Government is hard because we are facing into big challenges that affect every single person across our country, which is what has made this job so utterly rewarding.",big,-0.04917123168706894,0.15195417404174805
769,authority_appeal,"Government is hard because we are facing into big challenges that affect every single person across our country, which is what has made this job so utterly rewarding.",this,-0.042339202016592026,0.15195417404174805
769,polarization,"Government is hard because we are facing into big challenges that affect every single person across our country, which is what has made this job so utterly rewarding.",across,-0.17312276363372803,0.08913998305797577
769,polarization,"Government is hard because we are facing into big challenges that affect every single person across our country, which is what has made this job so utterly rewarding.",rewarding,-0.1373736560344696,0.08913998305797577
769,polarization,"Government is hard because we are facing into big challenges that affect every single person across our country, which is what has made this job so utterly rewarding.",person,0.10669252276420593,0.08913998305797577
769,polarization,"Government is hard because we are facing into big challenges that affect every single person across our country, which is what has made this job so utterly rewarding.",utterly,0.10379927605390549,0.08913998305797577
769,polarization,"Government is hard because we are facing into big challenges that affect every single person across our country, which is what has made this job so utterly rewarding.",so,0.08979320526123047,0.08913998305797577
769,polarization,"Government is hard because we are facing into big challenges that affect every single person across our country, which is what has made this job so utterly rewarding.",because,0.0879901647567749,0.08913998305797577
769,polarization,"Government is hard because we are facing into big challenges that affect every single person across our country, which is what has made this job so utterly rewarding.",government,0.08648280054330826,0.08913998305797577
